presence,retailers,type,name,brand,min_price,max_price,sample_url
4,Jumbo; Día; ChangoMás; Winery,tinto,Vino Tinto álamos Selección Malbec 750 Cc,ALAMOS,0,12929,https://www.jumbo.com.ar/vino-tinto-alamos-seleccion-malbec-750-cc/p
3,Jumbo; Día; ChangoMás,blanco,Vino Blanco Chardonnay 750 Cc Estiba I,ESTIBA I,7200,7290,https://www.jumbo.com.ar/vino-blanco-estiba-chardonnay-750-cc/p
3,Jumbo; Día; ChangoMás,blanco,Vino Blanco Dulce Chenin Blanc 750 Cc Santa Julia,SANTA JULIA,6756,8749,https://www.jumbo.com.ar/vino-chenin-dulce-natural-santa-julia-3/p
3,Jumbo; Día; ChangoMás,blanco,Vino Blanco Torrontés 750 Cc Cafayate,CAFAYATE,5879,15400,https://www.jumbo.com.ar/vino-cafayate-terroir-de-altura-torrontes-750cc/p
3,Jumbo; Día; ChangoMás,blanco,Vino Blanco Torrontés 750 Cc Elementos,ELEMENTOS,5990,7200,https://www.jumbo.com.ar/vino-blanco-elementos-torrontes-750-cc-2/p
3,Jumbo; Día; ChangoMás,blanco,Vino Dulce Chenin y Chardonnay 750 Cc Estancia Mendoza,ESTANCIA MENDOZA,4100,4250,https://www.jumbo.com.ar/vino-chardonnay-dulce-chening-estancia-mendoza/p
3,Jumbo; Día; ChangoMás,blanco,Vino Marlo Blanco Dulce 750cc,MARLO,4600,4990,https://www.jumbo.com.ar/vino-marlo-blanco-dulce-750cc/p
3,Jumbo; Día; ChangoMás,espumoso,Espumante Emilia Extra Brut 750 Cc,EMILIA,12060,13100,https://www.jumbo.com.ar/espumante-emilia-extra-brut-750cc/p
3,Jumbo; Día; ChangoMás,espumoso,Espumante Nieto Senetiner Extra Brut 750cc,NIETO & SENETINER,15578,21000,https://www.jumbo.com.ar/espumante-nieto-senetiner-extra-brut-750cc/p
3,Jumbo; Día; ChangoMás,espumoso,Espumante Salentein Brut Nature 1500 Cc,SALENTEIN,13990,39700,https://www.jumbo.com.ar/espumante-salentein-brut-nature-magnum-1500cc/p
3,Jumbo; Día; ChangoMás,rosado,Vino Rose Auténtico 750 Ml Finca Natalina,FINCA NATALINA,4929,5200,https://www.jumbo.com.ar/vino-rose-autentico-750-ml-finca-natalina/p
3,Jumbo; Día; ChangoMás,tinto,Canciller Reserva Cabernet Sauvignon,CANCILLER,2323,4170,https://www.jumbo.com.ar/canciller-reserva-cabernet-sauvignon/p
3,Jumbo; Día; ChangoMás,tinto,Vino Artesano Malbec Orgánico,ARTESANO,5534,11200,https://www.jumbo.com.ar/vino-artesano-malbec-organico/p
3,Jumbo; ChangoMás; Winery,tinto,Vino Bonarda 750 Cc El Enemigo,EL ENEMIGO,0,33850,https://www.jumbo.com.ar/vino-bonarda-750-cc-el-enemigo/p
3,Jumbo; Día; ChangoMás,tinto,Vino Cafayate Cabernet Sauvignon 750 Ml,CAFAYATE,5879,6100,https://www.jumbo.com.ar/vino-cabernet-sauvignon-750-cc-cafayate/p
3,Jumbo; Día; ChangoMás,tinto,Vino Chacabuco Cabernet Sauvignon 750cc,CHACABUCO,3990,5309,https://www.jumbo.com.ar/vino-chacabuco-cabernet-sauvignon-750cc-2/p
3,Jumbo; Día; ChangoMás,tinto,Vino Cosecha Tardia Tinto Botella 750 Ml,NORTON,1450,5999,https://www.jumbo.com.ar/vino-cosecha-tardia-tinto-botella-750-ml/p
3,Jumbo; Día; ChangoMás,tinto,Vino Don Valentin Lacrado Tinto 1000cc,DON VALENTIN,1950,4920,https://www.jumbo.com.ar/vino-don-valentin-lacrado-tinto-1000cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Finca Magnolia Malbec 750cc,Finca Magnolia,3990,6050,https://www.jumbo.com.ar/vino-finca-magnolia-malbec-750cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino La Celia Reserva Malbec 750cc,LA CELIA,10790,14749,https://www.jumbo.com.ar/vino-la-celia-reserva-malbec-750cc-2/p
3,Jumbo; Día; ChangoMás,tinto,Vino Malbec Auténtico 750 Ml Finca Natalina,FINCA NATALINA,4929,5350,https://www.jumbo.com.ar/vino-malbec-autentico-750-ml-finca-natalina/p
3,Día; ChangoMás; Winery,tinto,Vino Malbec Cabernet DV Catena 750 Ml.,DV CATENA,0,31469,https://diaonline.supermercadosdia.com.ar/vino-malbec-cabernet-dv-catena-750-ml-299892/p
3,Jumbo; Día; ChangoMás,tinto,Vino Malbec Juan de Juana,JUAN DE JUANA,4400,4495,https://www.jumbo.com.ar/vino-juan-de-juana-malbec-750-cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Norton Malbec 750 Ml Select,SELECT,8039,9885,https://www.jumbo.com.ar/vino-norton-malbec-750-ml-select/p
3,Jumbo; Día; ChangoMás,tinto,Vino Omnium Merlot 750cc,OMNIUM,30,6399,https://www.jumbo.com.ar/vino-omnium-merlot-750cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Reserva Pinot Noir 750 Ml Las Perdices,LAS PERDICES,9990,18100,https://www.jumbo.com.ar/vino-reserva-pinot-noir-750-ml-las-perdices/p
3,Jumbo; Día; ChangoMás,tinto,Vino Rosado Malbec 750 Cc Los Haroldos,LOS HAROLDOS,27,8079,https://www.jumbo.com.ar/vino-los-haroldos-malbec-rose-x-750cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Sexy Fish Malbec,SEXY FISH,6389,8440,https://www.jumbo.com.ar/vino-sexy-fish-malbec/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto 700 Cc Resero,RESERO,2430,2546,https://www.jumbo.com.ar/vino-resero-tinto-700cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Blend 1125 Cc Canciller,CANCILLER,3412,4300,https://www.jumbo.com.ar/vino-canciller-blend-tinto-1125cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Blend de Enólogo 750 Cc Estancia Mendoza,ESTANCIA MENDOZA,3250,4110,https://www.jumbo.com.ar/vino-tinto-estancia-mendoza-blend-de-enologo/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Bonarda 750 Cc Nieto Senetiner,NIETO & SENETINER,9990,12750,https://www.jumbo.com.ar/vino-patrimonial-bonarda-750cc-nieto-senetiner/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cabernet Sauvignon 2019 750 Cc Lopez,LOPEZ,4690,6850,https://www.jumbo.com.ar/vino-tinto-lopez-cabernet/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cabernet Sauvignon 750 Cc El Cazador,EL CAZADOR,6416,6700,https://www.jumbo.com.ar/vino-cabernet-sauvignon-x-750-cc-el-cazador/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cabernet Sauvignon 750 Cc Suter,SUTER,3990,5100,https://www.jumbo.com.ar/vino-tinto-cabernet-sauvignon-suter-750-cc/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cabernet Sauvignon 750 Ml Novecento,NOVECENTO,5100,5100,https://www.jumbo.com.ar/vino-novecento-cabernet-sauvignon-botella-750mlx1-2/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cabernet Sauvignon 750 Ml Ruca Malen,RUCA MALEN,9990,11650,https://www.jumbo.com.ar/vino-ruca-malen-capitulo-uno-cabernet-sauvignon-750/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cabernet Sauvignon 750 Ml Salentein,SALENTEIN,12990,15250,https://www.jumbo.com.ar/vino-salentein-reserve-cabernet-sauvignon/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Cosecha Tardía Dulce 750 Cc Norton,NORTON,5490,6100,https://www.jumbo.com.ar/vino-tinto-750-ml-cosecha-tardia/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Criolla 750 Cc Callia,CALLIA,5990,6650,https://www.jumbo.com.ar/vino-x-750-cc-callia-criolla/p
3,Jumbo; Día; ChangoMás,tinto,Vino Tinto Dulce 750 Cc Colon,COLON,5290,7100,https://www.jumbo.com.ar/vino-colon-selecto-tinto-dulce-750cc/p
