presence,retailers,type,name,brand,min_price,max_price,sample_url
2,La Vinoteca; Descorcha,blanco,Viu Manent Tiny Trials Chardonnay,Viu Manent,10643,15110,https://www.lavinoteca.cl/viu-manent-tiny-trials-chardonnay/p
2,Descorcha; VentaVinos,espumoso,Bestia Azul Reserva Espumante Brut,Bestias Wines,4893,6990,https://descorcha.com/products/bestia-azul-reserva-espumante-brut
2,Descorcha; VentaVinos,tinto,Bestia Negra Reserva De Familia Merlot,Bestias Wines,7145,12990,https://descorcha.com/products/bestia-negra-reserva-de-familia-merlot
2,La Vinoteca; Descorcha,tinto,Chocalan Reserva Carménère,Chocalan,5140,5590,https://www.lavinoteca.cl/chocalan-reserva-carmenere-5926/p
2,La Vinoteca; Descorcha,tinto,Chocalan Vitrum Carménère,Chocalan,12912,17990,https://www.lavinoteca.cl/chocalan-vitrum-carmenere/p
2,Descorcha; VentaVinos,tinto,Entre Toros Gran Reserva Carmenere,Bestias Wines,5994,8990,https://descorcha.com/products/entre-toros-gran-reserva-carmenere
2,La Vinoteca; Descorcha,tinto,Montes Alpha Carménère,Montes,13467,14990,https://www.lavinoteca.cl/montes-alpha-carmenere/p
2,La Vinoteca; Descorcha,tinto,Montes Alpha M Cabernet Sauvignon,Montes,127400,134390,https://www.lavinoteca.cl/montes-alpha-m-cabernet-sauvignon/p
2,La Vinoteca; Descorcha,tinto,Santa Ema Reserva Carménere,Santa Ema,5110,8153,https://www.lavinoteca.cl/santa-ema-reserva-carmenere-7553/p
2,Descorcha; VentaVinos,tinto,Vino Toreto Reserva De Familia Cabernet Sauvignon,Bestias Wines,8245,13990,https://descorcha.com/products/toreto-reserva-de-familia-c-sauv
2,La Vinoteca; Descorcha,tinto,Viu Manent Gran Reserva Cabernet Sauvignon,Viu Manent,5084,11750,https://www.lavinoteca.cl/viu-manent-gran-reserva-cabernet-sauvignon/p
2,La Vinoteca; Descorcha,tinto,Viu Manent Single Vineyard Carménère,Viu Manent,15982,21030,https://www.lavinoteca.cl/viu-manent-single-vineyard-carmenere/p
1,Descorcha,blanco,1000 Stories Chardonnay,Comercial Peumo,23992,23992,https://descorcha.com/products/1000-stories-chardonnay
1,Descorcha,blanco,20 Barrels Sauvignon Blanc,Comercial Peumo,9594,9594,https://descorcha.com/products/20-barrels-sauvignon-blanc
1,Descorcha,blanco,Aila Heaven Gran Reserva Chardonnay,Santa Ema,4496,4496,https://descorcha.com/products/aila-heaven-gran-reserva-chardonnay
1,Descorcha,blanco,Aila Heaven Gran Reserva Sauv. Blanc,Santa Ema,4496,4496,https://descorcha.com/products/aila-heaven-gran-reserva-sauv-blanc
1,Descorcha,blanco,Alyan Family Ambassador Chardonnay,Alyan,8953,8953,https://descorcha.com/products/alyan-family-ambassador-chardonnay
1,Descorcha,blanco,Amelia Chardonnay,Comercial Peumo,20994,20994,https://descorcha.com/products/amelia-chardonnay
1,Descorcha,blanco,Amplus Chardonnay 750cc,La vinoteca,13140,13140,https://descorcha.com/products/amplus-chardonnay-750cc
1,VentaVinos,blanco,Bestia Azul | Reserva | Sauvignon Blanc | Botella 750 cc,Bestias Wines,6392,6392,https://www.ventavinos.cl/products/bestia-verde-reserva-sauvignon-blanc-750-cc
1,VentaVinos,blanco,Bestia Azul | Reserva | Sauvignon Blanc | Caja 6 Botellas 750 cc,Bestias Wines,32764,32764,https://www.ventavinos.cl/products/bestia-verde-reserva-sauvignon-blanc-caja-6-botellas
1,VentaVinos,blanco,Bestia Negra | Reserva De Familia | Chardonnay | Caja 6 Botellas 750 cc,Bestias Wines,50364,50364,https://www.ventavinos.cl/products/bestia-negra-reserva-de-familia-chardonnay-caja-6-botellas
1,Descorcha,blanco,Bestia Negra Chardonnay,Bestias Wines,7145,7145,https://descorcha.com/products/bestia-negra-reserva-de-familia-char
1,Descorcha,blanco,Bicicleta Gewurztraminer,Comercial Peumo,3192,3192,https://descorcha.com/products/bicicleta-gewurztraminer
1,Descorcha,blanco,Bodega Norton Reserva Chardonnay,Bodega Norton,10493,10493,https://descorcha.com/products/bodega-norton-reserva-chardonnay
1,Descorcha,blanco,Bonterra Sauvignon Blanc,Comercial Peumo,26990,26990,https://descorcha.com/products/bonterra-sauvignon-blanc
1,Descorcha,blanco,Bonterra The Roost,Comercial Peumo,99990,99990,https://descorcha.com/products/bonterra-the-roost
1,La Vinoteca,blanco,Calcu Tiny Blocks Sauvignon Blanc Semillón,Calcu,13990,13990,https://www.lavinoteca.cl/calcu-tiny-blocks-sauvignon-blanc-semillon/p
1,La Vinoteca,blanco,Casa Marin Cartagena Riesling,Casa Marin,15790,15790,https://www.lavinoteca.cl/casa-marin-cartagena-riesling/p
1,La Vinoteca,blanco,Casa Marin Cartagena Sauvignon Blanc,Casa Marin,12630,12630,https://www.lavinoteca.cl/casa-marin-cartagena-sauvignon-blanc/p
1,La Vinoteca,blanco,Casa Marin Cipreses Sauvignon Blanc,Casa Marin,22310,22310,https://www.lavinoteca.cl/casa-marin-cipreses-sauvignon-blanc-486/p
1,La Vinoteca,blanco,Casas de Bucalemu Salinas Sauvignon Blanc,Casas de Bucalemu,8810,8810,https://www.lavinoteca.cl/casas-de-bucalemu-salinas-sauvignon-blanc/p
1,La Vinoteca,blanco,Casas del Bosque Botanic Series Chardonnay,Casas del Bosque,67150,67150,https://www.lavinoteca.cl/casas-del-bosque-botanic-series-chardonnay-x6/p
1,Descorcha,blanco,Casillero Del Diablo Belight Sauvignon Blanc,Comercial Peumo,3594,3594,https://descorcha.com/products/casillero-del-diablo-belight-sauvignon-blanc
1,Descorcha,blanco,Casillero del Diablo Late Harvest,Comercial Peumo,3894,3894,https://descorcha.com/products/casillero-del-diablo-late-harvest
1,Descorcha,blanco,Casillero del Diablo Reserva Pedro Jimenez,Comercial Peumo,3474,3474,https://descorcha.com/products/casillero-del-diablo-reserva-pedro-jimenez
1,Descorcha,blanco,Casillero Devils Carnaval Phenomenal Sauvignon,Comercial Peumo,3594,3594,https://descorcha.com/products/casillero-devils-carnaval-phenomenal-sauvignon
1,Descorcha,blanco,Casillero Devils Collection White Ensamblaje,Comercial Peumo,4794,4794,https://descorcha.com/products/casillero-devils-collection-white-ensamblaje
1,Descorcha,blanco,Cayetana Sauvignon Blanc,Monte Toro,10650,10650,https://descorcha.com/products/cayetana-sauvignon-blanc
1,La Vinoteca,blanco,Clos de Luz Boho Sauvignon Blanc,Clos de Luz,14990,14990,https://www.lavinoteca.cl/clos-de-luz-boho-sauvignon-blanc/p
1,La Vinoteca,blanco,Clos de Luz Boho Viognier,Clos de Luz,14990,14990,https://www.lavinoteca.cl/clos-de-luz-boho-viognier/p
1,Descorcha,blanco,Diablo Crystal Sauvignon Blanc,Comercial Peumo,4794,4794,https://descorcha.com/products/diablo-crystal-sauvignon-blanc
1,Descorcha,blanco,Diablo Golden Chardonnay,Comercial Peumo,4794,4794,https://descorcha.com/products/diablo-golden-chardonnay
1,La Vinoteca,blanco,El Enemigo Chardonnay,El Enemigo,34470,34470,https://www.lavinoteca.cl/el-enemigo-chardonnay-6270/p
1,La Vinoteca,blanco,Emiliana Novas Viognier,Emiliana,9190,9190,https://www.lavinoteca.cl/emiliana-novas-viognier/p
1,La Vinoteca,blanco,Emiliana Signos de Origen Chardonnay/Roussanne,Emiliana,12630,12630,https://www.lavinoteca.cl/emiliana-signos-de-origen-chardonnay-roussanne/p
1,Descorcha,blanco,Equis Naranjo,Andes Cru,9594,9594,https://descorcha.com/products/equis-naranjo
1,Descorcha,blanco,Explorador Sauvignon Blanc,Aresti,6494,6494,https://descorcha.com/products/explorador-sauvignon-blanc
1,Descorcha,blanco,Exportación Selecto Frutal Frutilla Naranja,Comercial Peumo,21552,21552,https://descorcha.com/products/exportacion-selecto-frutal-frutilla-naranja
1,Descorcha,blanco,Exportación Selecto Frutal Melvin,Comercial Peumo,21552,21552,https://descorcha.com/products/exportacion-selecto-frutal-melvin
1,Descorcha,blanco,Exportación Selecto Frutal Naranja Manzana,Comercial Peumo,21552,21552,https://descorcha.com/products/exportacion-selecto-frutal-naranja-manzana
1,La Vinoteca,blanco,Garcés Silva Agapes Sauvignon Blanc,Garces Silva,38990,38990,https://www.lavinoteca.cl/garces-silva-agapes-sauvignon-blanc/p
1,Descorcha,blanco,Intrepido Patrimonial Ensamblaje Blanco,Aresti,4544,4544,https://descorcha.com/products/intrepido-patrimonial-ensamblaje-blanco
1,Descorcha,blanco,Kaiken Terroir Series Torrontés,Premium Brands,8133,8133,https://descorcha.com/products/kaiken-terroir-series-torrontes
1,Descorcha,blanco,Kiñe Ensamblaje,El Principal,13644,13644,https://descorcha.com/products/kine-ensamblaje
1,Descorcha,blanco,Late Harvest Sauvignon Blanc,Comercial Peumo,3352,3352,https://descorcha.com/products/late-harvest-sauvignon-blanc
1,La Vinoteca,blanco,Leyda Coastal Vineyards Sauvignon Blanc,Leyda,13690,13690,https://www.lavinoteca.cl/leyda-coastal-vineyards-sauvignon-blanc/p
1,La Vinoteca,blanco,Leyda Lot 5 Chardonnay,Leyda,18890,18890,https://www.lavinoteca.cl/leyda-lot5-chardonnay/p
1,La Vinoteca,blanco,Lopez Pangue Verdejo,Lopez Pangue,17890,17890,https://www.lavinoteca.cl/lopez-pangue-verdejo-6020/p
1,Descorcha,blanco,Lucido - Catarratto (Italia),Diego Edwards,18000,18000,https://descorcha.com/products/lucido-catarratto-italia
1,Descorcha,blanco,Montes Classic Series Sauvignon Blanc,Premium Brands,6871,6871,https://descorcha.com/products/montes-classic-series-sauvignon-blanc
1,La Vinoteca,blanco,Montes Outer Limits Albariño,Montes,25190,25190,https://www.lavinoteca.cl/montes-outer-limits-albariño/p
1,La Vinoteca,blanco,Montes Outer Limits Zapallar Sauvignon Blanc,Montes,17670,17670,https://www.lavinoteca.cl/montes-outer-limits-zapallar-sauvignon-blanc/p
1,Descorcha,blanco,Novas Viognier,Emiliana,5394,5394,https://descorcha.com/products/novas-viognier
1,Descorcha,blanco,Origen Sauvignon Blanc,Chocalan,6893,6893,https://descorcha.com/products/origen-sauvignon-blanc
1,Descorcha,blanco,Outer Limits Cinsault,Premium Brands,12081,12081,https://descorcha.com/products/outer-limits-cinsault
1,Descorcha,blanco,Patagonia Chardonnay,Comercial Peumo,5394,5394,https://descorcha.com/products/patagonia-chardonnay
1,La Vinoteca,blanco,Puntí Ferrer Huevos de Loco Sauvignon Blanc,Punti Ferrer,9990,9990,https://www.lavinoteca.cl/punti-ferrer-huevos-de-loco-sauvignon-blanc/p
1,La Vinoteca,blanco,Requingua Mantoro Chardonnay,Requingua,7990,7990,https://www.lavinoteca.cl/requingua-mantoro-chardonnay/p
1,La Vinoteca,blanco,Requingua Toro de Piedra Sauvignon Blanc Costero,Requingua,10790,10790,https://www.lavinoteca.cl/requingua-toro-de-piedra-rincon-sauvignon-blanc-costero-6480/p
1,Descorcha,blanco,Santa Emiliana Chardonnay 700 cc,Comercial Peumo,2994,2994,https://descorcha.com/products/santa-emiliana-chardonnay-700-cc
1,La Vinoteca,blanco,Santa Rita Floresta Chardonnay,Santa Rita,26290,26290,https://www.lavinoteca.cl/santa-rita-floresta-chardonnay-6817/p
1,Descorcha,blanco,Single Vineyard Riesling,Comercial Peumo,6594,6594,https://descorcha.com/products/single-vineyard-riesling
1,Descorcha,blanco,Sol de Sol Sauvignon Blanc,Aquitania,17219,17219,https://descorcha.com/products/sol-de-sol-sauvignon-blanc
1,Descorcha,blanco,Terrunyo Sauvignon Blanc,Comercial Peumo,17994,17994,https://descorcha.com/products/terrunyo-sauvignon-blanc
1,VentaVinos,blanco,Toreto | Gran Reserva | Late Harvest | Botella 375 cc,Bestias Wines,5592,5592,https://www.ventavinos.cl/products/toreto-gran-reserva-late-harvest-botella-375cc
1,VentaVinos,blanco,Toreto | Gran Reserva | Late Harvest | Caja 6 Botellas 375 cc,Bestias Wines,29990,29990,https://www.ventavinos.cl/products/toreto-gran-reserva-late-harvest-caja-12-botellas
1,Descorcha,blanco,Trio Chardonnay,Comercial Peumo,3894,3894,https://descorcha.com/products/trio-chardonnay
1,Descorcha,blanco,Trisquel Gewurztraminer,Aresti,6293,6293,https://descorcha.com/products/trisquel-gewurztraminer
1,Descorcha,blanco,Trisquel Sauvignon Blanc,Aresti,6473,6473,https://descorcha.com/products/trisquel-sauvignon-blanc
1,Descorcha,blanco,Trisquel Series Chardonnay,Aresti,9744,9744,https://descorcha.com/products/trisquel-series-chardonnay
1,Descorcha,blanco,Trisquel Series Semillon,Aresti,9744,9744,https://descorcha.com/products/trisquel-series-semillon
1,La Vinoteca,blanco,Viñedos Lo Abarca N°2 Sauvignon Blanc,Viñedos Lo Abarca,10990,10990,https://www.lavinoteca.cl/vinedos-lo-abarca-n2-sauvignon-blanc/p
1,La Vinoteca,blanco,Viñedos Lo Abarca N°7 Riesling Kabinett,Viñedos Lo Abarca,24990,24990,https://www.lavinoteca.cl/vinedos-lo-abarca-n7-riesling-kabinett/p
1,Descorcha,blanco,Vino Casas Del Toqui Reserva Coastal Series Sauvignon Blanc 750cc,Premium Brands,6011,6011,https://descorcha.com/products/vino-casas-del-toqui-reserva-coastal-series-sauvignon-blanc-750cc
1,Descorcha,blanco,Vino Los Vascos Chardonnay Reserva,Premium Brands,5375,5375,https://descorcha.com/products/vino-los-vascos-chardonnay-reserva
1,Descorcha,blanco,Vino Medalla Real Santa Rita Sauvignon Blanc,Comercial Zapata,4304,4304,https://descorcha.com/products/vino-medalla-real-santa-rita-sauvignon-blanc
1,Descorcha,blanco,Vino Montgras Organic Sauvignon Blanc 750cc,Premium Brands,6081,6081,https://descorcha.com/products/vino-montgras-organic-sauvignon-blanc-750cc
1,Descorcha,blanco,Vino Odfjell Armador Sauvignon Blanc,Premium Brands,6099,6099,https://descorcha.com/products/vino-odfjell-armador-sauvignon-blanc
1,Descorcha,blanco,Vino Viu Manent Gran Reserva Noble Semillon,Premium Brands,8392,8392,https://descorcha.com/products/vino-viu-manent-gran-reserva-noble-semillon
1,Descorcha,blanco,Vino Viu Manent Secreto Viognier,Premium Brands,8023,8023,https://descorcha.com/products/vino-viu-manent-secreto-viognier
1,Descorcha,espumoso,Amaluna Organic Brut,Emiliana,7194,7194,https://descorcha.com/products/amaluna-organic-brut
1,La Vinoteca,espumoso,Antiyal Espumante Medianoche,Antiyal,25590,25590,https://www.lavinoteca.cl/antiyal-espumante-medianoche/p
1,Descorcha,espumoso,Azur Brut,Emiliana,16794,16794,https://descorcha.com/products/azur-brut
1,Descorcha,espumoso,Azur Brut 1.500cc,Emiliana,32994,32994,https://descorcha.com/products/azur-brut-1-500cc
1,La Vinoteca,espumoso,AZUR Espumante Brut,Azur,32590,32590,https://www.lavinoteca.cl/azur-espumante-brut/p
1,VentaVinos,espumoso,Bestia | Espumante | Brut | Botella 750 cc,Bestias Wines,9990,9990,https://www.ventavinos.cl/products/bestia-espumante-1
1,VentaVinos,espumoso,Bestia | Espumante | Brut | Caja 6 Botellas 750 cc,Bestias Wines,43990,43990,https://www.ventavinos.cl/products/bestia-espumante
1,VentaVinos,espumoso,"Bestia Azul, Brut | Espumante | Caja 6 Botellas",Bestias Wines,32990,32990,https://www.ventavinos.cl/products/bestia-azul-brut-espumante-1
1,Descorcha,espumoso,Bestia Lambrusco Rosso,Bestias Wines,5593,5593,https://descorcha.com/products/lambrusco-rosso
1,La Vinoteca,espumoso,Casa Silva Espumante Dominga Brut,Casa Silva,7590,7590,https://www.lavinoteca.cl/casa-silva-espumante-dominga-brut/p
1,La Vinoteca,espumoso,Casas Del Bosque Bo Extra Brut,Casas del Bosque,29830,29830,https://www.lavinoteca.cl/casas-del-bosque-bo-extra-brut/p
1,Descorcha,espumoso,Casillero Devils Carnaval Fantastic Sweet,Comercial Peumo,3594,3594,https://descorcha.com/products/casillero-devils-carnaval-fantastic-sweet
1,Descorcha,espumoso,Cava Vilarnau Brut Reserva Organico,Comercial Zapata,8226,8226,https://descorcha.com/products/cava-vilarnau-brut-reserva-organico
1,Descorcha,espumoso,Cava Vilarnau Rose Reserva Organico,Comercial Zapata,9540,9540,https://descorcha.com/products/cava-vilarnau-rose-reserva-organico
1,La Vinoteca,espumoso,Champagne Pol Roger Sir Winston Churchill,Pol Roger,391430,391430,https://www.lavinoteca.cl/champagne-pol-roger-sir-winston-churchill-6269/p
1,Descorcha,espumoso,Cono Sur Brut 750cc,Comercial Peumo,4194,4194,https://descorcha.com/products/cono-sur-brut-750cc
1,La Vinoteca,espumoso,Cono Sur Sparkling Brut,Cono Sur,9190,9190,https://www.lavinoteca.cl/cono-sur-sparkling-brut/p
1,La Vinoteca,espumoso,Cono Sur Sparkling Rosé,Cono Sur,7190,7190,https://www.lavinoteca.cl/cono-sur-sparkling-rose/p
1,Descorcha,espumoso,Diablo Sparkling Blanc,Comercial Peumo,4794,4794,https://descorcha.com/products/diablo-sparkling-blanc
1,Descorcha,espumoso,Diablo Sparkling Rose,Comercial Peumo,4794,4794,https://descorcha.com/products/diablo-sparkling-rose
1,La Vinoteca,espumoso,Dussaillant Lehmann Brut,Dussaillant Lehmann,10550,10550,https://www.lavinoteca.cl/dussaillant-lehmann-brut/p
1,Descorcha,espumoso,Espumante Broccato Brut 750cc.,Comercial Peumo,4194,4194,https://descorcha.com/products/espumante-broccato-brut-750cc
1,Descorcha,espumoso,Espumante Broccato Moscato 750cc.,Comercial Peumo,4194,4194,https://descorcha.com/products/espumante-broccato-moscato-750cc
1,Descorcha,espumoso,Espumante Casillero del Diablo Zero,Comercial Peumo,4193,4193,https://descorcha.com/products/espumante-casillero-del-diablo-zero
1,Descorcha,espumoso,Espumante CE Norton Extra Brut,Bodega Norton,9592,9592,https://descorcha.com/products/espumante-ce-norton-extra-brut
1,Descorcha,espumoso,Espumante Chandon Brut,Premium Brands,9893,9893,https://descorcha.com/products/espumante-chandon-brut
1,Descorcha,espumoso,Espumante Chandon Brut Nature Bot 750cc,Premium Brands,12063,12063,https://descorcha.com/products/espumante-chandon-brut-nature-bot-750cc
1,Descorcha,espumoso,Espumante Chandon Demisec Bot 750cc,Premium Brands,9144,9144,https://descorcha.com/products/espumante-chandon-demisec-bot-750cc
1,Descorcha,espumoso,Espumante Chandon Rose Bot 750cc,Premium Brands,10912,10912,https://descorcha.com/products/espumante-chandon-rose-bot-750cc
1,Descorcha,espumoso,Espumante Cruzat Cuvee Brut Nature 750 cc.,Cruzat,10995,10995,https://descorcha.com/products/espumante-cruzat-cuvee-brut-nature-750-cc
1,Descorcha,espumoso,Espumante Cruzat Cuvee Extra Brut 750 cc.,Cruzat,10995,10995,https://descorcha.com/products/espumante-cruzat-cuvee-extra-brut-750-cc
1,Descorcha,espumoso,Espumante Cruzat Cuvee Extra Rose 750 cc.,Cruzat,10995,10995,https://descorcha.com/products/espumante-cruzat-cuvee-extra-rose-750-cc
1,Descorcha,espumoso,Espumante Cruzat Finca La Dama Extra Brut 750 cc.,Cruzat,16315,16315,https://descorcha.com/products/espumante-cruzat-finca-la-dama-extra-brut-750-cc
1,Descorcha,espumoso,Espumante Cruzat Millesime Blac de Blancs Brut Nature 750 cc,Cruzat,30674,30674,https://descorcha.com/products/espumante-cruzat-millesime-blac-de-blancs-brut-nature-750-cc
1,Descorcha,espumoso,Espumante Cruzat Premier Brut Rose 750 cc.,Cruzat,8796,8796,https://descorcha.com/products/espumante-cruzat-premier-brut-rose-750-cc
1,Descorcha,espumoso,Espumante Cruzat Premier Dulce,Cruzat,8795,8795,https://descorcha.com/products/espumante-cruzat-premier-dulce
