presence,retailers,type,name,brand,min_price,max_price,sample_url
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,blanco,Vino blanco CONDES DE ALBAREI albariño Albarino (750  ml),CONDES DE ALBAREI,96600,125990,https://www.exito.com/vbco-albarino-condes-de-albarei-750-ml-588052/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,blanco,Vino blanco TRAPICHE torrontes  (750  ml),TRAPICHE,55990,65990,https://www.exito.com/vino-blanco-broquel-torrontes-trapiche-750-ml-3015082/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,espumoso,Champaña VEUVE CLICQUOT brut  (750  ml),VEUVE CLICQUOT,435700,609990,https://www.exito.com/champagne-brut-veuve-clicquot-x-750ml-70707/p
5,Éxito; Carulla; Olímpica; Dislicores; Vinos El Kiosco,espumoso,Vino espumoso CHANDON brut extra  (750  ml),CHANDON,89500,106800,https://www.exito.com/vino-espumoso-extra-brut-x-750ml-778693/p
5,Éxito; Carulla; Olímpica; Dislicores; Vinos El Kiosco,espumoso,Vino espumoso CHANDON demi sec  (750  ml),CHANDON,89500,106500,https://www.exito.com/vino-espumoso-demisec-386930/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,VINO ALIWEN  Cabernet Sauvignon (750  ml),ALIWEN,78643,99000,https://www.exito.com/vino-tinto-reserva-cabernet-syra-x-750ml-742315/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto ALAMOS malbec Malbec (750  ml),ALAMOS,91000,105990,https://www.exito.com/vtinto-malbec-518028/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto ANGELICA ZAPATA malbec  (750  ml),ANGELICA ZAPATA,281200,387900,https://www.exito.com/vino-tinto-malbec-x-750ml-617663/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto CASILLERO DEL DIABLO reserva  (750  ml),CASILLERO DEL DIABLO,44070,90490,https://www.exito.com/vino-red-blend-935793/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto CERRO VERDE merlot  (750  ml),CERRO VERDE,51900,61300,https://www.exito.com/merlot-cerro-verde-750-ml-883151/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto CODICE español  (750  ml),CODICE,75600,94600,https://www.exito.com/vino-tinto-862063/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto FRONTERA malbec  (750  ml),FRONTERA,37800,99900,https://www.exito.com/vino-tinto-malbec-x-750-ml-856738/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto GATO NEGRO cabernet sauvignon  (375  ml),GATO NEGRO,31750,55100,https://www.exito.com/vino-tinto-gato-negro-x-375ml-869166/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto JP CHENET merlot Merlot (750  ml),JP CHENET,42400,77990,https://www.exito.com/vino-tinto-merlot-jp-chenet-x-750ml-304718/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto LA CELIA malbec  (750  ml),LA CELIA,74990,87990,https://www.exito.com/vino-tinto-malbec-910015/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto LA HUERTA merlot Merlot (750  ml),LA HUERTA,39990,47990,https://www.exito.com/vino-tinto-merlot-la-huerta-x-750ml-64262/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto LAS MORAS malbec Malbec (750  ml),LAS MORAS,61400,80990,https://www.exito.com/vino-tinto-argentino-malbec-x-750ml-212171/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto LAS MORAS orgánico Malbec (750  ml),LAS MORAS,71500,83990,https://www.exito.com/vinoorganicolasmorasmalbec-24140/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto LAZO merlot Merlot (750  ml),LAZO,35600,50400,https://www.exito.com/vino-tinto-merlot-botella-x-750-ml-258099/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto MARQUES DE RISCAL tempranillo Tempranillo (750  ml),MARQUES DE RISCAL,62465,346800,https://www.exito.com/vino-tinto-tempranillo-x-750ml-374597/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto NORTON malbec Malbec (750  ml),NORTON,45467,86800,https://www.exito.com/vino-tinto-malbec-x-750ml-408750/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto PORTILLO tinto merlot Merlot (750  ml),PORTILLO,54600,71200,https://www.exito.com/vino-tinto-merlot-684435/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto PROTOS ribera duero  (750  ml),PROTOS,82900,253990,https://www.exito.com/vino-tinto-roble-ribera-del-duero-x-750ml-374598/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto SANTA CAROLINA carmenére Carmenere (750  ml),SANTA CAROLINA,50700,86990,https://www.exito.com/vino-tinto-carmenere-reservado-x-750ml-449324/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto SANTA HELENA merlot Merlot (750  ml),SANTA HELENA,48400,65500,https://www.exito.com/vino-tinto-merlot-x-750ml-236061/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto SANTA RITA 120 cabernet reserva especial Carmenere (750  ml),SANTA RITA 120,47950,76990,https://www.exito.com/vino-tinto-santa-rita-120-carmenere-750-ml-385166/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto SANTIAGO 1541 carmenere Carmenere (750  ml),SANTIAGO 1541,38080,83990,https://www.exito.com/vino-tinto-carmenere-santiago-1541-750-ml-3075460/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto SEPTIMA malbec Malbec (750  ml),SEPTIMA,67800,98990,https://www.exito.com/vino-tinto-malbec-septima-x-750ml-746853/p
5,Éxito; Carulla; Jumbo; Olímpica; Vinos El Kiosco,tinto,Vino tinto SIBARIS gran reserva merlot Merlot (750  ml),SIBARIS,94080,123200,https://www.exito.com/vino-tinto-merlot-reserva-especial-x-750ml-86044/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto TARAPACA merlot  (750  ml),TARAPACA,65900,84000,https://www.exito.com/vino-varietal-merlot-935273/p
5,Éxito; Carulla; Jumbo; Olímpica; Dislicores,tinto,Vino tinto TRAPICHE malbec broquel Malbec (750  ml),TRAPICHE,102000,125200,https://www.exito.com/vino-tinto-malbec-broquel-x-750-ml-449314/p
