presence,retailers,type,name,brand,min_price,max_price,sample_url
1,El Catador,blanco,Abadía de San Campio Albariño,Terras Gauda,1590,1590,https://elcatador.com/products/abadia-de-san-campio-albarino
1,El Catador,blanco,Adegas Galegas Veigadares,Adegas Galegas,2350,2350,https://elcatador.com/products/adegas-galegas-veigadares
1,El Catador,blanco,Altos de Torona Albariño,Altos de Torona,1550,1550,https://elcatador.com/products/altos-de-torona-albarino
1,El Catador,blanco,Antinori Cervaro Della Sala,Antinori,6800,6800,https://elcatador.com/products/antinori-cervaro-della-sala
1,El Catador,blanco,Antinori Conte Della Vipera,Antinori,2795,2795,https://elcatador.com/products/antinori-conte-della-vipera
1,El Catador,blanco,Antinori San Giovanni Della Sala,Antinori,2150,2150,https://elcatador.com/products/antinori-san-giovanni-della-sala
1,El Catador,blanco,Antinori Vermentino,Antinori,2100,2100,https://elcatador.com/products/antinori-vermentino-1
1,El Catador,blanco,Antinori Villa Antinori Blanco,Antinori,1590,1590,https://elcatador.com/products/antinori-villa-antinori-blanco
1,El Catador,blanco,Arzuaga Fan D'Oro,Arzuaga,1890,1890,https://elcatador.com/products/arzuaga-fan-doro
1,El Catador,blanco,Banfi Principessa Gavi,Banfi,1750,1750,https://elcatador.com/products/banfi-principessa-gavi
1,El Catador,blanco,Baron Philippe de Rothschild Sauternes 375ml,Baron Philippe de Rothschild,1820,1820,https://elcatador.com/products/baron-philippe-de-rothschild-sauternes-375ml
1,El Catador,blanco,Batasiolo Gavi di Gavi,Batasiolo,1650,1650,https://elcatador.com/products/batasiolo-gavi-di-gavi
1,El Catador,blanco,Belle Glos Chardonnay,Copper Cane,4550,4550,https://elcatador.com/products/belle-glos-chardonnay
1,El Catador,blanco,Beringer California Chardonnay,Beringer,870,870,https://elcatador.com/products/beringer-california-chardonnay
1,El Catador,blanco,Beringer California Moscato,Beringer,870,870,https://elcatador.com/products/beringer-california-moscato
1,El Catador,blanco,Beringer California Pinot Grigio,Beringer,870,870,https://elcatador.com/products/beringer-california-pinot-grigio
1,El Catador,blanco,Chateau Ste Michelle Columbia Riesling,Chateau Ste Michelle,1550,1550,https://elcatador.com/products/chateau-st-michelle-columbia-riesling
1,El Catador,blanco,Cinco Islas Albariño,Cinco Islas,1750,1750,https://elcatador.com/products/cinco-islas-albarino
1,El Catador,blanco,Cloudy Bay Te Koko Sauvignon Blanc,Cloudy Bay,8800,8800,https://elcatador.com/products/cloudy-bay-te-koko-sauvignon-blanc
1,El Catador,blanco,Conundrum Blanco,Wagner Family of Wines,2250,2250,https://elcatador.com/products/conundrum-blanco
1,El Catador,blanco,Darioush Viognier,Darioush,5780,5780,https://elcatador.com/products/darioush-viognier
